transaction_id,user_id,device_id,card_id,ip_address,merchant_id,amount,timestamp,channel,country,is_fraud
T000001,U0328,D0029,C0251,IP0013,M0036,44.82,2026-01-22T23:25:00,web,IN,0
T000002,U0378,D0027,C0433,IP0045,M0076,445.51,2026-02-24T12:21:00,web,US,0
T000003,U0048,D0056,C0617,IP0120,M0065,47.77,2026-02-14T05:09:00,web,NG,0
T000004,U0102,D0167,C0460,IP0215,M0029,281.55,2026-01-17T08:01:00,pos,GB,0
T000005,U0415,D0002,C0349,IP0082,M0055,154.12,2026-02-02T19:32:00,mobile,IN,0
T000006,U0111,D0087,C0390,IP0053,M0012,71.56,2026-01-11T14:33:00,web,GB,0
T000007,U0434,D0089,C0471,IP0136,M0006,602.92,2026-01-06T16:21:00,pos,US,0
T000008,U0499,D0097,C0301,IP0041,M0071,151.41,2026-02-08T23:46:00,pos,NG,0
T000009,U0454,D0093,C0047,IP0099,M0009,173.62,2026-02-10T15:53:00,pos,IN,0
T000010,U0396,D0075,C0104,IP0041,M0030,48.11,2026-01-07T04:54:00,mobile,GB,0
T000011,U0233,D0163,C0380,IP0187,M0021,229.33,2026-01-18T16:26:00,mobile,IN,0
T000012,U0344,D0069,C0176,IP0037,M0078,166.25,2026-01-02T08:50:00,pos,BR,0
T000013,U0126,D0042,C0277,IP0237,M0049,2239.17,2026-01-27T11:16:00,pos,BR,0
T000014,U0286,D0057,C0235,IP0167,M0008,158.81,2026-02-26T06:28:00,web,RU,0
T000015,U0162,D0103,C0217,IP0138,M0009,65.88,2026-01-18T01:45:00,pos,BR,0
T000016,U0162,D0055,C0470,IP0256,M0051,103.69,2026-01-02T07:07:00,web,GB,0
T000017,U0072,D0064,C0439,IP0135,M0075,74.72,2026-01-08T03:10:00,pos,CA,0
T000018,U0186,D0057,C0506,IP0071,M0066,138.42,2026-01-17T20:58:00,web,RU,0
T000019,U0025,D0029,C0164,IP0079,M0081,37.15,2026-01-15T04:29:00,pos,CA,0
T000020,U0306,D0017,C0611,IP0198,M0049,53.44,2026-01-03T05:52:00,mobile,NG,0
T000021,U0129,D0142,C0118,IP0006,M0088,308.45,2026-02-08T02:09:00,pos,NG,0
T000022,U0385,D0069,C0301,IP0175,M0015,63.13,2026-01-18T10:55:00,mobile,IN,0
T000023,U0233,D0001,C0183,IP0135,M0065,35.67,2026-02-28T03:53:00,pos,US,0
T000024,U0446,D0161,C0520,IP0153,M0082,142.59,2026-03-01T13:01:00,pos,IN,0
T000025,U0079,D0096,C0544,IP0083,M0070,448.54,2026-01-02T07:50:00,web,NG,0
T000026,U0166,D0126,C0372,IP0010,M0015,186.56,2026-02-16T07:41:00,mobile,IN,0
T000027,U0030,D0062,C0498,IP0041,M0011,35.71,2026-02-26T20:43:00,web,RU,0
T000028,U0273,D0033,C0487,IP0066,M0085,101.54,2026-01-15T10:59:00,pos,IN,0
T000029,U0136,D0136,C0553,IP0217,M0028,40.16,2026-01-17T19:55:00,pos,BR,0
